"139","研究","のような","叙述"
"140","教室","のような","雰囲気"
"141","歌舞伎役者","のような","顔"
"142","ストロー","のような","口"
"143","詩人","のような","発想"
"144","原子時計","のような","精度"
"145","鬼","のような","編集者"
"146","車輪","のような","姿"
"147","湯気","のような","魅惑"
"148","だだっ子","のような","態度"
"149","寒風","のような","雰囲気"
"150","爆発","のような","轟音"
"151","モデル","のような","母親アイリーン"
"152","宝石","のような","果樹"
"153","真珠","のような","輝き"
"154","ファミリールーム","のような","空間"
"155","終着駅","のような","部屋"
"156","手仕事","のような","作品"
"157","黒曜石","のような","輝き"
"158","迷路","のような","図書館"
"159","ムース","のような","泡"
"160","隠れ家","のような","バー"
"161","制服","のような","記号性"
"162","部屋","のような","洞窟"
"163","天使","のような","神学生たち"
"164","ロボット","のような","動き"
"165","悪夢","のような","状況"
"166","グラス","のような","もろさ"
"167","ソーセージ","のような","便"
"168","矢","のような","気配"
"169","コーヒー牛乳","のような","カクテル"
"170","医者","のような","話し方"
"171","画布","のような","雰囲気"
"172","宝石","のような","色彩"
"173","金属","のような","赤茶色"
"174","聖歌隊員","のような","調子"
"175","女王","のような","態度"
"176","天使","のような","忍耐"
"177","戦友","のような","関係"
"178","牛","のような","顔"
"179","クッション","のような","構造"
"180","新妻","のような","仕草"
"181","絹","のような","髪"
"182","能面","のような","顔"
"183","哲人","のような","浮浪者"
"184","迷路","のような","廊下"
"185","教室","のような","法廷"
"186","牢獄","のような","部屋"
"187","剣山","のような","ピン"
"188","休眠","のような","状態"
"189","離れ島","のような","場所"
"190","綱渡り","のような","総会運営"
"191","ファンタジー","のような","要素"
"192","野武士","のような","野趣"
"193","母親","のような","心境"
"194","慈母","のような","存在"
"195","サーカス","のような","政治"
"196","午後","のような","穏やかさ"
"197","子供","のような","声"
"198","ボール","のような","頭蓋"
"199","枯れ草","のような","毛髪"
"200","棒","のような","腕"
"201","アリストテレス","のような","大学者"
"202","厚化粧","のような","言葉"
"203","アメリカ大統領","のような","存在"
"204","拷問","のような","夢"
"205","亡霊","のような","名前"
"206","詩人","のような","インテリたち"
"207","枯れ草","のような","香気"
"208","社長","のような","立場"
"209","ストーカー","のような","印象"
"210","ホテル","のような","玄関"
"211","母","のような","暖かみ"
"212","場違い","のような","艶"
"213","西郷隆盛","のような","面構え"
"214","ボヘミアン","のような","放浪生活"
"215","宝石","のような","ダンサー達"
"216","つや絹","のような","光沢"
"217","祭り","のような","雰囲気"
"218","子供","のような","表情"
"219","悪鬼","のような","形相"
"220","化石","のような","制度"
"221","戦争","のような","愚行"
"222","戦時","のような","異常事態"
"223","青春","のような","出来事"
"224","マグマ","のような","熱"
"225","映画","のような","ビジョン"
"226","天国","のような","静けさ"
"227","空気","のような","存在"
"228","井戸","のような","印象"
"229","猿","のような","身体"
"230","悲鳴","のような","吐息"
"231","丸太","のような","腕"
"232","天使","のような","微笑"
"233","少年","のような","温顔"
"234","映画スター","のような","笑み"
"235","暴力団","のような","振る舞い"
"236","つぼみ","のような","唇"
"237","天使","のような","顔"
"238","魔法","のような","芸術"
"239","激流","のような","運命"
"240","オブジェ","のような","フロアライト"
"241","妹","のような","後輩"
"242","他人","のような","自我"
"243","ボーイソプラノ","のような","声"
"244","人事","のような","顔"
"245","家族","のような","集団"
"246","汽笛","のような","声"
"247","僧侶","のような","気持ち"
"248","タンク","のような","車体"
"249","滝","のような","涙"
"250","綿菓子","のような","香り"
"251","魔法","のような","効果"
"252","戦前","のような","教育"
"253","子犬","のような","顔"
"254","親","のような","存在"
"255","広告","のような","世界"
"256","猫","のような","笑い"
"257","奴隷","のような","顧問官"
"258","電撃","のような","痛覚"
"259","迷路","のような","森"
"260","家臣","のような","心境"
"261","少年","のような","輝き"
"262","友達","のような","関係"
"263","晴天","のような","関係"
"264","少女","のような","声"
"265","娘","のような","容姿"
"266","庶民代表","のような","存在"
"267","陶器","のような","手の甲"
"268","不夜城","のような","花火"
"269","儀式","のような","動作"
"270","聖母","のような","表情"
"271","人事","のような","態度"
"272","氷","のような","盾"
"273","白鳥","のような","首"
"274","日記","のような","内容"
"275","ティーンエージャー","のような","反応"
"276","クリーム","のような","乳房"
"277","犬","のような","スタイル"
"278","玩具","のような","扱い"
"279","秘書","のような","雰囲気"
"280","老人","のような","歩き方"
"281","彫像","のような","裸"
"282","ファッションモデル","のような","流し目"
"283","フリーター","のような","生き方"
"284","拷問","のような","時間"
"285","尻尾切り","のような","対応"
"286","ブルドッグ","のような","顔"
"287","カルト","のような","文化"
"288","歌声","のような","説法"
"289","星空","のような","輝き"
"290","シンデレラ","のような","ドレス"
"291","姉","のような","口調"
"292","人事","のような","口調"
"293","抹茶","のような","和カラー"
"294","流行作家","のような","仕事ぶり"
"295","家畜","のような","存在"
"296","友人","のような","顔"
"297","通路","のような","部屋"
"298","ヒトラー","のような","人物"
"299","寸劇","のような","原始的消火方法"
"300","小山","のような","シルエット"
"301","マット","のような","役目"
"302","クッション","のような","役割"
"303","通り魔","のような","災い"
"304","津波","のような","イメージ"
"305","けんか腰","のような","上申書"
"306","倉庫","のような","売り場"
"307","真珠","のような","光沢"
"308","犬猫","のような","双眸"
"309","電流","のような","快感"
"310","死","のような","無気力"
"311","宝石","のような","思い出"
"312","サラブレッド","のような","体格"
"313","猛獣","のような","勢い"
"314","機械","のような","生活"
"315","暴走列車","のような","気分"
"316","クルー","のような","存在"
"317","針金","のような","指"
"318","粘土","のような","皮膚"
"319","横綱","のような","存在"
"320","万華鏡","のような","輝き"
"321","モデル","のような","男性"
"322","俳優","のような","気分"
"323","虹","のような","太陽"
"324","山脈","のような","高層ビル"
"325","閻魔大王","のような","形相"
"326","スポンジ","のような","土壌"
"327","砂漠","のような","都会"
"328","ブルドーザー","のような","イメージ"
"329","暴徒","のような","警官隊"
"330","題名","のような","工夫"
"331","せせらぎ","のような","声"
"332","要塞","のような","大学"
"333","ひとくちケーキ","のような","脳"
"334","スリガラス","のような","影"
"335","エアポケット","のような","瞬間"
"336","漫才コンビ","のような","二人"
"337","キリスト","のような","生活"
"338","ロボット","のような","風貌"
"339","聖母","のような","作品"
"340","化け物","のような","身体"
"341","お祭り騒ぎ","のような","イタリア"
"342","豚まん","のような","膨れっ面"
"343","灰色","のような","運勢"
"344","白うさぎ","のような","顔立ち"
"345","エメラルド","のような","輝き"
"346","教室","のような","秩序"
"347","鋼鉄","のような","肉棒"
"348","ジャングル","のような","状態"
"349","形状記憶合金","のような","人間"
"350","女優","のような","容姿"
"351","姉さん","のような","存在"
"352","異人","のような","断髪"
"353","絹","のような","光沢"
"354","仙人","のような","観者"
"355","俳優","のような","男前"
"356","味方","のような","顔"
"357","影","のような","中尉"
"358","救世主","のような","制度"
